OTUID,out36-1,out36-11,out36-13,out36-15,out36-17,out36-18,out36-2,out36-20,out36-21,out36-23,out36-24,out36-26,out36-28,out36-5,out36-7,out36-9,51-1,51-10,51-11,51-12,51-13,51-14,51-15,51-16,51-17,51-18,51-19,51-2,51-20,51-21,51-22,51-23,51-24,51-25,51-26,51-27,51-28,51-29,51-3,51-30,51-31,51-32,51-33,51-34,51-35,51-36,51-37,51-38,51-39,51-4,51-40,51-41,51-42,51-43,51-44,51-45,51-46,51-47,51-48,51-49,51-5,51-50,51-51,51-52,51-53,51-54,51-55,51-56,51-6,51-7,51-75,51-8,51-9,52-1,52-10,52-11,52-12,52-13,52-14,52-15,52-16,52-17,52-18,52-19,52-2,52-20,52-21,52-22,52-23,52-24,52-25,52-26,52-27,52-28,52-29,52-3,52-30,52-31,52-32,52-33,52-34,52-35,52-36,52-37,52-38,52-39,52-4,52-40,52-41,52-42,52-43,52-44,52-45,52-46,52-47,52-48,52-49,52-5,52-50,52-51,52-52,52-53,52-54,52-55,52-56,52-6,52-7,52-8,52-9
ASV_21,0,0,19006,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,428,439,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,288,0,0,391,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_22,0,0,0,1112,0,0,0,0,0,1837,640,0,8444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,77,0,135,172,0,0,206,86,0,0,0,0,110,172,432,435,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,471,742,0,251,0,0,0,0,28,293,0,344,115,0,206,183,227,0,0,0,0,0,172,0,466,1604,0,0,0,0
ASV_23,0,0,17301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24,0,0,9576,0,0,0,242,0,0,0,0,0,0,0,113,374,0,0,110,0,0,0,0,0,0,0,0,91,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,1120,0,0,0,0,0,0,0,0,219,0,0,0,0,157,0,0,0,0,2,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,2339
ASV_25,0,0,0,1141,0,0,266,0,6286,0,0,0,0,0,1851,437,0,0,0,0,0,0,440,0,0,0,0,0,0,0,669,0,483,102,0,0,61,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,767,363,0,0,0,0,0,0,0,0,421,0,52,0,0,766,0,61,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_26,0,3243,0,0,0,0,402,3003,0,1062,0,0,0,0,0,762,0,0,0,79,0,0,0,261,295,0,0,0,0,0,164,0,235,52,0,212,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,323,0,393,0,0,0,0,0,216,1003,125,0,158,342,0,0,0,0,0,204,343,0,0,0,0,0,0,0,0,0,0,0,0,0,81,168,0,0,283,0,0,168,1136,0,0,0,0,0,0
ASV_27,2690,918,0,0,0,0,0,2127,1038,2494,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,106,714,417,0,0,585,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,202,0,80,152,0,0,0,0,0,1155,256,0,0,195,0,0,0,0
ASV_28,0,0,0,0,0,0,0,0,0,0,0,0,0,14337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_29,0,0,0,7659,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,327,0,0,0,0,0,0,0,0,0,0,0,64,0,218,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,162,0,0,0,0,0,497,0,41,0,76,416,0,0,0,0,0,0,0,114,0,247,0,0,0,0,0
ASV_30,0,0,0,828,416,3514,0,0,6599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,146,0,18,0,0,33,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
